         282545 function calls (274804 primitive calls) in 229.848 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   565/46    0.005    0.000    0.695    0.015 <frozen importlib._bootstrap>:1002(_find_and_load)
    71/43    0.000    0.000    0.267    0.006 <frozen importlib._bootstrap>:1018(_gcd_import)
  703/383    0.001    0.000    0.349    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      778    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      565    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:156(__enter__)
      565    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
      778    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)   655/31    0.001    0.000    0.670    0.022 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     4342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      483    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      544    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
      980    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:385(cached)
      771    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      514    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  514/511    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      593    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
   514/35    0.003    0.000    0.678    0.019 <frozen importlib._bootstrap>:659(_load_unlocked)
      544    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      527    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
      778    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
     1598    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1598    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      544    0.004    0.000    0.196    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
   534/30    0.003    0.000    0.694    0.023 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1011(__init__)
      483    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_filename)
      483    0.003    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      483    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
     4108    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(__init__)
       14    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
      974    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2922    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       71    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      908    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     2132    0.002    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)      527    0.003    0.000    0.188    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)      527    0.001    0.000    0.188    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)      742    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      608    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)      508    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)      819    0.009    0.000    0.169    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)      662    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       73    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)       80    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       80    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      584    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
      966    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      497    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      483    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      483    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      483    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      819    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)      483    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      508    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1449    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
